<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.01.24	00:00:00.280	0.94396	0.94584			6
2025.01.24	00:02:36.952	0.94409	0.94623			6
2025.01.24	00:02:40.028	0.94398				2
2025.01.24	00:02:41.073	0.94402				2
2025.01.24	00:02:41.787	0.94403				2
2025.01.24	00:02:42.157	0.94406				2
2025.01.24	00:02:46.780	0.94403				2
2025.01.24	00:02:47.557	0.94406				2
2025.01.24	00:02:48.674	0.94408				2
2025.01.24	00:02:51.814	0.94403				2
2025.01.24	00:02:52.855	0.94405				2
2025.01.24	00:02:57.158	0.94403				2
2025.01.24	00:02:58.253	0.94406				2
2025.01.24	00:03:02.757	0.94398				2
2025.01.24	00:04:01.486	0.94398	0.94623			6
2025.01.24	00:04:03.423		0.94599			4
2025.01.24	00:05:00.463	0.94423	0.94611			6
2025.01.24	00:05:01.377		0.94606			4
2025.01.24	00:05:13.054		0.94607			4
2025.01.24	00:05:36.897		0.94585			4
2025.01.24	00:06:00.541	0.94423				2
2025.01.24	00:06:31.986		0.94583			4
2025.01.24	00:07:01.377	0.94423				2
2025.01.24	00:07:35.860		0.94583			4
2025.01.24	00:08:00.120	0.94423				2
2025.01.24	00:08:40.773		0.94583			4
2025.01.24	00:09:01.653	0.94423				2
2025.01.24	00:09:42.362		0.94583			4
2025.01.24	00:10:00.360	0.94423				2
2025.01.24	00:10:12.728	0.94459	0.94580			6
2025.01.24	00:10:21.825		0.94581			4
2025.01.24	00:10:27.885	0.94460				2
2025.01.24	00:10:42.482		0.94582			4
2025.01.24	00:10:44.300	0.94461				2
2025.01.24	00:10:44.902	0.94460				2
2025.01.24	00:10:45.510	0.94461				2
2025.01.24	00:10:46.115	0.94460				2
2025.01.24	00:10:47.932	0.94461				2
2025.01.24	00:10:55.808	0.94460	0.94581			6
2025.01.24	00:10:56.415	0.94459				2
2025.01.24	00:11:00.055	0.94459				2
2025.01.24	00:11:03.388	0.94428	0.94580			6
2025.01.24	00:11:07.350	0.94459	0.94581			6
2025.01.24	00:11:08.290	0.94428	0.94580			6
2025.01.24	00:11:12.246	0.94460	0.94581			6
2025.01.24	00:11:13.186	0.94428	0.94580			6
2025.01.24	00:11:16.069		0.94579			4
2025.01.24	00:11:20.900	0.94427	0.94580			6
2025.01.24	00:11:34.083	0.94429	0.94579			6
2025.01.24	00:11:35.872		0.94578			4
2025.01.24	00:11:51.941	0.94449	0.94581			6
2025.01.24	00:11:55.951	0.94447	0.94583			6
2025.01.24	00:11:56.450	0.94449	0.94582			6
2025.01.24	00:11:56.948	0.94447	0.94583			6
2025.01.24	00:11:57.447	0.94449	0.94582			6
2025.01.24	00:11:57.945	0.94448	0.94583			6
2025.01.24	00:11:58.448	0.94449	0.94582			6
2025.01.24	00:11:58.951	0.94448	0.94583			6
2025.01.24	00:11:59.449	0.94449	0.94581			6
2025.01.24	00:11:59.950	0.94448	0.94583			6
2025.01.24	00:12:00.438	0.94449	0.94581			6
2025.01.24	00:12:00.948	0.94447	0.94582			6
2025.01.24	00:12:01.451	0.94449	0.94581			6
2025.01.24	00:12:01.952	0.94447	0.94582			6
2025.01.24	00:12:02.446	0.94449	0.94581			6
2025.01.24	00:12:02.962	0.94447	0.94582			6
2025.01.24	00:12:12.470	0.94448				2
2025.01.24	00:12:20.874	0.94449	0.94581			6
2025.01.24	00:12:26.712	0.94454	0.94576			6
2025.01.24	00:12:30.470		0.94575			4
2025.01.24	00:12:39.675	0.94455				2
2025.01.24	00:13:00.778	0.94455				2
2025.01.24	00:13:19.676	0.94457	0.94576			6
2025.01.24	00:13:20.699	0.94456	0.94575			6
2025.01.24	00:13:45.471		0.94574			4
2025.01.24	00:13:54.782		0.94575			4
2025.01.24	00:13:55.373	0.94457				2
2025.01.24	00:14:01.942	0.94457				2
2025.01.24	00:14:18.472	0.94456	0.94574			6
2025.01.24	00:14:22.973	0.94457				2
2025.01.24	00:14:23.281		0.94575			4
2025.01.24	00:14:44.754		0.94574			4
2025.01.24	00:14:51.658	0.94430	0.94569			6
2025.01.24	00:14:52.371	0.94445				2
2025.01.24	00:14:53.752	0.94446	0.94568			6
2025.01.24	00:15:00.499	0.94446	0.94567			6
2025.01.24	00:15:00.968	0.94447	0.94566			6
2025.01.24	00:15:01.504	0.94449				2
2025.01.24	00:15:02.658	0.94448				2
2025.01.24	00:15:03.656	0.94449				2
2025.01.24	00:15:04.658	0.94448				2
2025.01.24	00:15:08.160	0.94449				2
2025.01.24	00:15:12.169	0.94448				2
2025.01.24	00:15:13.653		0.94567			4
2025.01.24	00:15:14.654		0.94566			4
2025.01.24	00:16:53.643	0.94432	0.94564			6
2025.01.24	00:17:00.065	0.94431	0.94565			6
2025.01.24	00:17:04.260	0.94434	0.94562			6
2025.01.24	00:17:21.171	0.94433				2
2025.01.24	00:17:23.571	0.94435				2
2025.01.24	00:17:27.474	0.94440				2
2025.01.24	00:17:28.673	0.94437				2
2025.01.24	00:17:38.869	0.94435				2
2025.01.24	00:17:39.776	0.94436				2
2025.01.24	00:17:49.970	0.94435				2
2025.01.24	00:18:10.779	0.94435	0.94562			6
2025.01.24	00:18:11.868	0.94437				2
2025.01.24	00:18:23.708	0.94435	0.94544			6
2025.01.24	00:18:24.217	0.94429	0.94565			6
2025.01.24	00:18:24.704	0.94427				2
2025.01.24	00:18:39.501	0.94428	0.94560			6
2025.01.24	00:18:39.878	0.94439	0.94552			6
2025.01.24	00:18:55.489	0.94430	0.94567			6
2025.01.24	00:19:00.775	0.94430				2
2025.01.24	00:19:35.221	0.94431	0.94566			6
2025.01.24	00:19:39.937	0.94439	0.94549			6
2025.01.24	00:19:56.716	0.94431	0.94565			6
2025.01.24	00:20:03.395	0.94426	0.94570			6
2025.01.24	00:20:04.049	0.94425	0.94571			6
2025.01.24	00:20:04.383	0.94434	0.94555			6
2025.01.24	00:20:12.170	0.94432				2
2025.01.24	00:20:13.368	0.94435				2
2025.01.24	00:20:15.486	0.94436				2
2025.01.24	00:20:19.453	0.94437				2
2025.01.24	00:20:34.903	0.94436				2
2025.01.24	00:20:44.367	0.94435				2
2025.01.24	00:20:45.602	0.94436				2
2025.01.24	00:20:46.524	0.94435				2
2025.01.24	00:20:48.377	0.94436				2
2025.01.24	00:20:49.297	0.94435				2
2025.01.24	00:20:51.294	0.94436				2
2025.01.24	00:20:51.801	0.94435				2
2025.01.24	00:20:52.136	0.94436				2
2025.01.24	00:20:53.863	0.94437	0.94564			6
2025.01.24	00:20:54.523		0.94550			4
2025.01.24	00:20:55.922	0.94435				2
2025.01.24	00:20:57.092	0.94434				2
2025.01.24	00:20:57.952	0.94436				2
2025.01.24	00:20:58.678	0.94434				2
2025.01.24	00:21:00.710	0.94436				2
2025.01.24	00:21:04.454	0.94435				2
2025.01.24	00:21:22.254	0.94432				2
